tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,studio,domestic_gross,foreign_gross,release_year
tt0365907,6.5,105116,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",Uni.,26300000.0,26900000.0,2014
tt0492389,3.8,14700,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",Sum.,17600000.0,18600000.0,2010
tt0790724,7.0,284547,Jack Reacher,Jack Reacher,2012,130.0,"Action,Crime,Thriller",Par.,80100000.0,138300000.0,2012
tt0829150,6.3,164829,Dracula Untold,Dracula Untold,2014,92.0,"Action,Drama,Fantasy",Uni.,56300000.0,160800000.0,2014
tt0844993,4.8,11281,Hoodwinked Too! Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,2011,86.0,"Animation,Comedy,Crime",Wein.,10100000.0,6800000.0,2011
tt0903624,7.9,719629,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy",WB (NL),303000000.0,718100000.0,2012
tt0948470,7.0,525632,The Amazing Spider-Man,The Amazing Spider-Man,2012,136.0,"Action,Adventure,Sci-Fi",Sony,262000000.0,495900000.0,2012
tt1017451,6.6,43792,The Runaways,The Runaways,2010,106.0,"Biography,Drama,Music",App.,3600000.0,1100000.0,2010
tt1931435,5.6,44221,The Big Wedding,The Big Wedding,2013,89.0,"Comedy,Drama,Romance",LGF,21800000.0,24700000.0,2013
tt1999890,5.5,8662,Hell Fest,Hell Fest,2018,89.0,Horror,LGF,11100000.0,7100000.0,2018
tt2105043,6.6,45,Upside Down,Upside Down,2012,81.0,Drama,MNE,105000.0,8000000.0,2013
tt2176786,6.5,648,For a Woman,Pour une femme,2013,110.0,Drama,FM,32299.0,1200000.0,2014
tt2184339,5.7,183549,The Purge,The Purge,2013,85.0,"Horror,Thriller",Uni.,64500000.0,24900000.0,2013
tt2277308,4.0,116,Friend Request,Friend Request,2013,91.0,Thriller,ENTMP,3800000.0,78430930.02516411,2017
tt2363461,3.9,102,The Pyramid,The Pyramid,2013,90.0,Horror,Fox,2800000.0,14100000.0,2014
tt2380331,6.6,9280,Words and Pictures,Words and Pictures,2013,111.0,"Comedy,Drama,Romance",RAtt.,2200000.0,1200000.0,2014
tt2459022,6.3,2623,Lost in Thailand,Ren zai jiong tu: Tai jiong,2012,105.0,"Adventure,Comedy,Drama",WAMCR,57400.0,197700000.0,2013
tt2488778,6.0,5690,The Keeping Room,The Keeping Room,2014,95.0,"Drama,Western",Drft.,27200.0,78430930.02516411,2015
